Index,HourType,LongAcc,LatAcc,Speed
309,Non Rush Hour,0.026503568,0,24.8
310,Non Rush Hour,0.031600408,0,24.86
311,Non Rush Hour,0.037716616,0,24.78
312,Non Rush Hour,0.024464832,0,24.86
313,Non Rush Hour,0.0254842,0,24.92
314,Non Rush Hour,0.03058104,0,24.96
315,Non Rush Hour,0.03058104,0,24.96
316,Non Rush Hour,0.01529052,0,25.74
317,Non Rush Hour,0.01529052,0,25.74
318,Non Rush Hour,0.014271152,0,25.76
319,Non Rush Hour,0.014271152,0,25.76
320,Non Rush Hour,0.01529052,0,25.76
321,Non Rush Hour,0.01529052,0,25.76
322,Non Rush Hour,0.01529052,0,25.76
323,Non Rush Hour,0.013251784,0,25.78
324,Non Rush Hour,0.019367992,0,25.84
325,Non Rush Hour,0.019367992,0,25.84
326,Non Rush Hour,0.019367992,0,25.84
327,Non Rush Hour,0.017329256,0,25.9
328,Non Rush Hour,0.02038736,0,25.92
329,Non Rush Hour,0.02038736,0,25.92
330,Non Rush Hour,0.018348624,0,25.94
331,Non Rush Hour,0.024464832,0,25.98
332,Non Rush Hour,0.024464832,0,25.98
333,Non Rush Hour,0.01019368,0,25.96
334,Non Rush Hour,0.066258919,0,28.74
335,Non Rush Hour,0.066258919,0,28.74
336,Non Rush Hour,0.068297655,0,28.84
337,Non Rush Hour,0.068297655,0,28.84
338,Non Rush Hour,0.073394495,0,28.94
339,Non Rush Hour,0.073394495,0,28.94
340,Non Rush Hour,0.077471967,0,29.02
341,Non Rush Hour,0.077471967,0,29.02
342,Non Rush Hour,0.053007136,0,28.94
343,Non Rush Hour,0.033639144,0,28.92
344,Non Rush Hour,0.01529052,0,28.88
345,Non Rush Hour,-0.001019368,0,28.88
346,Non Rush Hour,0.042813456,0,25.6
347,Non Rush Hour,0.047910296,0,25.6
348,Non Rush Hour,0.043832824,0,25.72
349,Non Rush Hour,0.044852192,0,25.76
350,Non Rush Hour,0.046890928,0,25.78
351,Non Rush Hour,0.044852192,0,25.92
352,Non Rush Hour,0.049949032,0,25.98
353,Non Rush Hour,0.026503568,0,26.14
354,Non Rush Hour,0.026503568,0,26.16
355,Non Rush Hour,0.024464832,0,26.18
356,Non Rush Hour,0.024464832,0,26.28
357,Non Rush Hour,0.03567788,0,26.3
358,Non Rush Hour,0.036697248,0,26.3
359,Non Rush Hour,0.032619776,0,26.32
360,Non Rush Hour,0.027522936,0,26.36
361,Non Rush Hour,0.028542304,0,26.38
362,Non Rush Hour,0.0254842,0,26.38
363,Non Rush Hour,0.022426096,0,26.4
364,Non Rush Hour,0.019367992,0,26.44
365,Non Rush Hour,0.021406728,0,26.44
366,Non Rush Hour,0.019367992,0,26.46
367,Non Rush Hour,0.019367992,0,26.48
368,Non Rush Hour,0.03058104,0,26.58
369,Non Rush Hour,0.024464832,0,29.02
370,Non Rush Hour,0.027522936,0,29.14
371,Non Rush Hour,0.032619776,0,29.2
372,Non Rush Hour,0.037716616,0,29.18
373,Non Rush Hour,0.032619776,0,29.24
374,Non Rush Hour,0.032619776,0,29.24
375,Non Rush Hour,0.033639144,0,29.28
376,Non Rush Hour,0.03567788,0,29.34
377,Non Rush Hour,0.039755352,0,29.34
378,Non Rush Hour,0.039755352,0,29.34
379,Non Rush Hour,0.039755352,0,29.34
380,Non Rush Hour,0.03567788,0,29.38
381,Non Rush Hour,0.03567788,0,29.44
382,Non Rush Hour,0.03567788,0,29.44
383,Non Rush Hour,0.039755352,0,29.5
384,Non Rush Hour,0.031600408,0,29.46
385,Non Rush Hour,0.03058104,0,29.5
386,Non Rush Hour,0.018348624,0,26.4
387,Non Rush Hour,0.026503568,0,26.52
388,Non Rush Hour,0.034658512,0,26.58
389,Non Rush Hour,0.04077472,0,26.54
390,Non Rush Hour,0.032619776,0,26.6
391,Non Rush Hour,0.032619776,0,26.66
392,Non Rush Hour,0.036697248,0,26.7
393,Non Rush Hour,0.039755352,0,26.72
394,Non Rush Hour,0.036697248,0,26.78
395,Non Rush Hour,0.037716616,0,26.82
396,Non Rush Hour,0.039755352,0,26.86
397,Non Rush Hour,0.042813456,0,26.86
398,Non Rush Hour,0.034658512,0,26.9
399,Non Rush Hour,0.03567788,0,26.96
400,Non Rush Hour,0.037716616,0,27
401,Non Rush Hour,0.041794088,0,26.78
402,Non Rush Hour,0.041794088,0,26.78
403,Non Rush Hour,0.028542304,0,26.82
404,Non Rush Hour,0.028542304,0,26.82
405,Non Rush Hour,0.0254842,0,26.86
406,Non Rush Hour,0.0254842,0,26.86
407,Non Rush Hour,0.026503568,0,26.9
408,Non Rush Hour,0.026503568,0,26.9
409,Non Rush Hour,0.029561672,0,26.82
410,Non Rush Hour,0.029561672,0,26.82
411,Non Rush Hour,0.014271152,0,26.86
412,Non Rush Hour,0.014271152,0,26.86
413,Non Rush Hour,0.012232416,0,26.9
414,Non Rush Hour,0.012232416,0,26.9
415,Non Rush Hour,0.01529052,0,26.94
416,Non Rush Hour,0.01529052,0,26.94
417,Non Rush Hour,0.02038736,0,26.88
418,Non Rush Hour,0.02038736,0,26.88
419,Non Rush Hour,0.01019368,0,26.92
420,Non Rush Hour,0.01019368,0,26.92
421,Non Rush Hour,0.01019368,0,26.96
422,Non Rush Hour,0.01019368,0,26.96
423,Non Rush Hour,0.002038736,0,26.94
424,Non Rush Hour,0.007135576,0,26.96
425,Non Rush Hour,0.007135576,0,26.96
426,Non Rush Hour,0.008154944,0,26.92
427,Non Rush Hour,0.006116208,0,26.98
428,Non Rush Hour,0.007135576,0,26.94
429,Non Rush Hour,0.004077472,0,27
430,Non Rush Hour,0.006116208,0,27.04
431,Non Rush Hour,0.016309888,0,27.04
432,Non Rush Hour,0.01019368,0,27.04
433,Non Rush Hour,0.01019368,0,27.04
434,Non Rush Hour,0.006116208,0,27.06
435,Non Rush Hour,0.009174312,0,27.1
436,Non Rush Hour,0.01529052,0,27.08
437,Non Rush Hour,0.01529052,0,27.08
438,Non Rush Hour,0.011213048,0,27.12
439,Non Rush Hour,0.018348624,0,27.16
440,Non Rush Hour,0.018348624,0,27.16
441,Non Rush Hour,0.018348624,0,27.18
442,Non Rush Hour,0.02038736,0,27.14
443,Non Rush Hour,0.02038736,0,27.14
444,Rush Hour,0.023445464,0,22.48
445,Rush Hour,0.023445464,0,22.48
446,Rush Hour,0.029561672,0,22.54
447,Rush Hour,0.029561672,0,22.54
448,Rush Hour,0.036697248,0,22.62
449,Rush Hour,0.036697248,0,22.62
450,Rush Hour,0.029561672,0,22.66
451,Rush Hour,0.036697248,0,22.76
452,Rush Hour,0.038735984,0,22.84
453,Rush Hour,0.039755352,0,23.04
454,Rush Hour,0.044852192,0,23.1
455,Rush Hour,0.032619776,0,23.04
456,Rush Hour,0.034658512,0,23.12
457,Rush Hour,0.04077472,0,23.2
458,Rush Hour,0.04077472,0,23.2
459,Rush Hour,0.04587156,0,23.26
460,Rush Hour,0.04587156,0,23.26
461,Rush Hour,0.041794088,0,23.26
462,Rush Hour,0.041794088,0,23.26
463,Rush Hour,0.044852192,0,23.32
464,Rush Hour,0.044852192,0,23.32
465,Rush Hour,0.049949032,0,23.4
466,Rush Hour,0.049949032,0,23.4
467,Rush Hour,0.055045872,0,23.48
468,Rush Hour,0.041794088,0,23.42
469,Rush Hour,0.041794088,0,23.42
470,Rush Hour,0.041794088,0,23.48
471,Rush Hour,0.041794088,0,23.48
472,Rush Hour,0.043832824,0,23.56
473,Rush Hour,0.043832824,0,23.56
474,Rush Hour,0.0509684,0,23.64
475,Rush Hour,0.04077472,0,23.6
476,Rush Hour,0.04077472,0,23.68
477,Rush Hour,0.04077472,0,23.68
478,Rush Hour,0.04587156,0,23.82
479,Rush Hour,0.048929664,0,24.1
480,Rush Hour,0.049949032,0,24.16
481,Rush Hour,0.051987768,0,24.22
482,Rush Hour,0.05606524,0,24.22
483,Rush Hour,0.048929664,0,24.36
484,Rush Hour,-0.004077472,0,12.28
485,Rush Hour,0.01529052,0,12.42
486,Rush Hour,0.01529052,0,12.4
487,Rush Hour,0.034658512,0,12.6
488,Rush Hour,0.012232416,0,23.84
489,Rush Hour,0.012232416,0,23.84
490,Rush Hour,0.012232416,0,23.84
491,Rush Hour,0.011213048,0,23.9
492,Rush Hour,0.011213048,0,23.9
493,Rush Hour,0.011213048,0,23.9
494,Rush Hour,0.016309888,0,23.9
495,Rush Hour,0.016309888,0,23.9
496,Rush Hour,0.01529052,0,23.92
497,Rush Hour,0.01529052,0,23.92
498,Rush Hour,0.01529052,0,23.92
499,Rush Hour,0.018348624,0,23.92
500,Rush Hour,0.018348624,0,23.92
501,Rush Hour,0.018348624,0,23.92
502,Rush Hour,0.016309888,0,23.92
503,Rush Hour,0.016309888,0,23.92
504,Rush Hour,0.00509684,0,23.88
505,Rush Hour,0.00509684,0,23.88
506,Rush Hour,0.014271152,0,23.96
507,Rush Hour,0.01019368,0,24
508,Rush Hour,0.01019368,0,24
509,Rush Hour,0.011213048,0,24
510,Rush Hour,0.01019368,0,24.04
511,Rush Hour,0.01529052,0,24.12
512,Rush Hour,0.01529052,0,24.12
513,Rush Hour,-0.007135576,0,11.38
514,Rush Hour,-0.00509684,0,11.4
515,Rush Hour,-0.017329256,0,11.3
516,Rush Hour,-0.01019368,0,11.38
517,Rush Hour,-0.014271152,0,11.3
518,Rush Hour,-0.012232416,0,11.32
519,Rush Hour,0.02038736,0,24.18
520,Rush Hour,0.02038736,0,24.18
521,Rush Hour,0.019367992,0,24.18
522,Rush Hour,0.019367992,0,24.18
523,Rush Hour,0.021406728,0,24.22
524,Rush Hour,0.021406728,0,24.22
525,Rush Hour,0.018348624,0,24.22
526,Rush Hour,0.018348624,0,24.22
527,Rush Hour,0.021406728,0,24.26
528,Rush Hour,0.021406728,0,24.26
529,Rush Hour,0.019367992,0,24.26
530,Rush Hour,0.019367992,0,24.26
531,Rush Hour,0.023445464,0,24.32
532,Rush Hour,0.023445464,0,24.32
533,Rush Hour,0.021406728,0,24.32
534,Rush Hour,0.019367992,0,24.32
535,Rush Hour,0.016309888,0,24.4
536,Rush Hour,0.016309888,0,24.4
537,Rush Hour,0.041794088,0.072375127,28.5
538,Rush Hour,0.033639144,0.036697248,28.56
539,Rush Hour,0.038735984,0.044852192,28.58
540,Rush Hour,0.092762487,0.077471967,28.64
541,Rush Hour,0.070336391,0.054026504,28.68
542,Rush Hour,0.002038736,0.044852192,28.68
543,Rush Hour,0.017329256,0.034658512,28.6
544,Rush Hour,0.044852192,0.046890928,28.62
545,Rush Hour,-0.003058104,0.073394495,28.62
546,Rush Hour,0.019367992,0,24.62
547,Rush Hour,0.022426096,0,24.68
548,Rush Hour,0.022426096,0,24.72
549,Rush Hour,0.022426096,0,24.72
550,Rush Hour,0.019367992,0,24.78
551,Rush Hour,0.024464832,0,24.78
552,Rush Hour,0.027522936,0,24.84
553,Rush Hour,0.024464832,0,24.84
554,Rush Hour,0.033639144,0,24.92
555,Rush Hour,0.031600408,0,24.92
556,Rush Hour,0.031600408,0,24.92
557,Rush Hour,0.013251784,0,24.88
558,Rush Hour,0.013251784,0,24.88
559,Rush Hour,0.017329256,0,24.94
560,Rush Hour,0.017329256,0,24.94
561,Rush Hour,0.016309888,0,24.94
562,Rush Hour,0.02038736,0,25
563,Rush Hour,0.019367992,0,25
564,Rush Hour,0.008154944,0,24.94
565,Rush Hour,0.022426096,0,24.7
566,Rush Hour,0.028542304,0,24.76
567,Rush Hour,0.028542304,0,24.76
568,Rush Hour,0.028542304,0,24.76
569,Rush Hour,0.0254842,0,24.84
570,Rush Hour,0.0254842,0,24.84
571,Rush Hour,0.0254842,0,24.84
572,Rush Hour,0.033639144,0,24.9
573,Rush Hour,0.017329256,0,24.92
574,Rush Hour,0.017329256,0,24.92
575,Rush Hour,0.021406728,0,25.02
576,Rush Hour,0.028542304,0,25.16
577,Rush Hour,0.028542304,0,25.16
578,Rush Hour,0.0254842,0,25.1
579,Rush Hour,0.0254842,0,25.1
580,Rush Hour,0.03058104,0,25.28
581,Rush Hour,0.03058104,0,25.28
582,Rush Hour,0.044852192,0,15.52
583,Rush Hour,0.054026504,0,15.74
584,Rush Hour,0.054026504,0,15.78
585,Rush Hour,0.053007136,0,15.78
586,Rush Hour,0.091743119,0,28.02
587,Rush Hour,0.091743119,0,28.02
588,Rush Hour,0.099898063,0,28.14
589,Rush Hour,0.099898063,0,28.14
590,Rush Hour,0.078491335,0,28.1
591,Rush Hour,0.078491335,0,28.1
592,Rush Hour,0.077471967,0,28.22
593,Rush Hour,0.077471967,0,28.22
594,Rush Hour,0.081549439,0,28.32
595,Rush Hour,0.081549439,0,28.32
596,Rush Hour,0.086646279,0,28.42
597,Rush Hour,0.086646279,0,28.42
598,Rush Hour,0.074413863,0,28.42
