Index,HourType,YawRate,Speed,Heading
146,Rush Hour,0.08,25.48,91.525
147,Rush Hour,0.02,25.56,91.45
148,Rush Hour,-0.11,25.62,91.4
149,Rush Hour,-0.24,25.68,91.3625
150,Rush Hour,-0.24,25.68,91.3625
151,Rush Hour,-0.22,25.56,91.375
152,Rush Hour,-0.22,25.56,91.375
153,Rush Hour,-0.3,25.64,91.3
154,Rush Hour,-0.3,25.64,91.3
155,Rush Hour,-0.4,25.7,91.25
156,Rush Hour,-0.4,25.7,91.25
157,Rush Hour,-0.44,25.76,91.2125
158,Rush Hour,-0.44,25.76,91.2125
159,Rush Hour,-0.16,25.7,91.325
160,Rush Hour,-0.16,25.7,91.325
161,Rush Hour,-0.07,25.78,91.275
162,Rush Hour,-0.07,25.78,91.275
163,Rush Hour,0,25.8,91.2875
164,Rush Hour,0.02,25.94,91.2
165,Rush Hour,-0.04,26.02,91.1375
166,Rush Hour,-0.09,26.02,91.125
167,Rush Hour,-0.17,26.08,91.075
168,Rush Hour,0.05,26.64,91.9375
169,Rush Hour,-0.23,26.68,91.95
170,Rush Hour,-0.3,26.7,91.975
171,Rush Hour,-0.23,26.74,92
172,Rush Hour,-0.1,26.6,91.85
173,Rush Hour,-0.1,26.6,91.85
174,Rush Hour,-0.31,26.64,91.8375
175,Rush Hour,-0.31,26.64,91.8375
176,Rush Hour,-0.36,26.68,91.8375
177,Rush Hour,-0.36,26.68,91.8375
178,Rush Hour,-0.2,26.64,91.725
179,Rush Hour,-0.2,26.64,91.725
180,Rush Hour,-0.15,26.74,91.8125
181,Rush Hour,-0.08,26.66,91.7375
182,Rush Hour,-0.23,26.72,91.65
183,Rush Hour,0.95,24.34,91.5875
184,Rush Hour,1,24.38,91.675
185,Rush Hour,0.92,24.38,91.7875
186,Rush Hour,0.79,24.42,91.8375
187,Rush Hour,0.33,24.48,91.975
188,Rush Hour,0.33,24.48,91.975
189,Rush Hour,0.29,24.54,92.0125
190,Rush Hour,0.29,24.54,92.0125
191,Rush Hour,0.2,24.62,92.025
192,Rush Hour,0.2,24.62,92.025
193,Rush Hour,0.15,24.62,92.0375
194,Rush Hour,0.12,24.68,92.05
195,Rush Hour,0.1,24.68,92.0625
196,Rush Hour,-0.14,24.74,91.95
197,Rush Hour,-0.22,24.8,91.9625
198,Rush Hour,-0.13,24.86,91.975
199,Rush Hour,-0.13,24.86,91.975
200,Rush Hour,-0.12,24.86,91.95
201,Rush Hour,-0.12,24.86,91.95
202,Rush Hour,-0.15,26.08,91.0875
203,Rush Hour,-0.17,26.14,91.0375
204,Rush Hour,-0.23,26.2,91
205,Rush Hour,-0.1,26.22,91.05
206,Rush Hour,-0.06,26.28,91.05
207,Rush Hour,0.12,26.26,91.1125
208,Rush Hour,0.13,26.32,91.0875
209,Rush Hour,0.13,26.32,91.0875
210,Rush Hour,0.1,26.38,91.0875
211,Rush Hour,0.1,26.38,91.0875
212,Rush Hour,0.05,26.44,91.075
213,Rush Hour,0.21,26.4,91.175
214,Rush Hour,0.22,26.46,91.1625
215,Rush Hour,0.12,26.5,91.1375
216,Rush Hour,0.12,26.5,91.1375
217,Rush Hour,-0.01,26.56,91.1
218,Rush Hour,0.19,26.52,91.2375
219,Rush Hour,0.19,26.56,91.2125
220,Rush Hour,0.07,26.58,91.1625
221,Rush Hour,0.07,26.58,91.1625
222,Rush Hour,-0.29,26.74,91.675
223,Rush Hour,-0.1,26.74,91.6875
224,Rush Hour,-0.01,26.68,91.5375
225,Rush Hour,-0.27,26.7,91.5875
226,Rush Hour,-0.03,26.7,91.7125
227,Rush Hour,0.16,26.62,91.6
228,Rush Hour,0.02,26.62,91.65
229,Rush Hour,0.02,26.62,91.65
230,Rush Hour,0.02,26.62,91.65
231,Rush Hour,0.03,26.62,91.7
232,Rush Hour,0.14,26.64,91.75
233,Rush Hour,0.14,26.64,91.75
234,Rush Hour,0.25,26.58,91.6
235,Rush Hour,-0.03,26.6,91.6375
236,Rush Hour,-0.03,26.6,91.6375
237,Rush Hour,-0.08,26.62,91.6875
238,Rush Hour,-0.08,26.62,91.6875
239,Rush Hour,0,26.62,91.7125
240,Rush Hour,0,26.62,91.7125
241,Rush Hour,0.09,26.56,91.5625
242,Rush Hour,0.09,26.56,91.5625
243,Rush Hour,-0.27,24.98,91.85
244,Rush Hour,-0.32,25.04,91.825
245,Rush Hour,-0.38,24.98,91.775
246,Rush Hour,-0.38,24.98,91.775
247,Rush Hour,-0.34,25.04,91.725
248,Rush Hour,-0.34,25.04,91.725
249,Rush Hour,-0.43,25.1,91.675
250,Rush Hour,-0.43,25.1,91.675
251,Rush Hour,-0.39,25.16,91.625
252,Rush Hour,-0.39,25.16,91.625
253,Rush Hour,-0.69,25.12,91.475
254,Rush Hour,-0.77,25.18,91.4375
255,Rush Hour,-0.68,25.24,91.425
256,Rush Hour,-0.52,25.28,91.425
257,Rush Hour,-0.46,25.22,91.3625
258,Rush Hour,-0.34,25.28,91.3625
259,Rush Hour,-0.13,25.38,91.3375
260,Non Rush Hour,-0.03,24.08,91.325
261,Non Rush Hour,-0.03,24.08,91.325
262,Non Rush Hour,0.07,24.14,91.3625
263,Non Rush Hour,0.07,24.14,91.3625
264,Non Rush Hour,0.19,24.06,91.4875
265,Non Rush Hour,0.19,24.06,91.4875
266,Non Rush Hour,0.45,24.12,91.5375
267,Non Rush Hour,0.45,24.12,91.5375
268,Non Rush Hour,-0.41,24.42,91.3625
269,Non Rush Hour,-0.37,24.56,91.2875
270,Non Rush Hour,-0.23,24.68,91.2125
271,Non Rush Hour,0.21,25.48,91.625
272,Non Rush Hour,0.44,25.5,91.675
273,Non Rush Hour,0.44,25.5,91.675
274,Non Rush Hour,0.56,25.52,91.7
275,Non Rush Hour,0.56,25.52,91.7
276,Non Rush Hour,0.56,25.54,91.7
277,Non Rush Hour,0.56,25.54,91.7
278,Non Rush Hour,0.45,25.54,91.8125
279,Non Rush Hour,0.45,25.54,91.8125
280,Non Rush Hour,0.48,25.56,91.8125
281,Non Rush Hour,0.48,25.56,91.8125
282,Non Rush Hour,0.34,25.56,91.8375
283,Non Rush Hour,-0.12,25.62,91.7625
284,Non Rush Hour,-0.11,25.64,91.725
285,Non Rush Hour,-0.15,25.66,91.725
286,Non Rush Hour,-0.15,25.66,91.725
287,Non Rush Hour,-0.15,25.66,91.725
288,Non Rush Hour,-0.12,25.68,91.7375
289,Non Rush Hour,-0.04,25.72,91.7375
290,Non Rush Hour,0.19,27.62,91.3625
291,Non Rush Hour,0.21,27.86,91.4625
292,Non Rush Hour,0.23,27.98,91.5125
293,Non Rush Hour,0.37,28.04,91.575
294,Non Rush Hour,0.36,28.14,91.6125
295,Non Rush Hour,0.35,28.26,91.6375
296,Non Rush Hour,0.21,28.48,91.725
297,Non Rush Hour,0.21,28.48,91.725
298,Non Rush Hour,0.24,28.44,91.675
299,Non Rush Hour,0.1,28.54,91.6875
300,Non Rush Hour,0.1,28.54,91.6875
301,Non Rush Hour,0.03,28.66,91.7125
302,Non Rush Hour,0.03,28.66,91.7125
303,Non Rush Hour,0.12,28.76,91.75
304,Non Rush Hour,0.12,28.76,91.75
305,Non Rush Hour,-0.21,24.68,91.15
306,Non Rush Hour,-0.21,24.68,91.15
307,Non Rush Hour,-0.28,24.74,91.175
308,Non Rush Hour,-0.28,24.74,91.175
309,Non Rush Hour,-0.22,24.8,91.1625
310,Non Rush Hour,-0.17,24.86,91.1625
311,Non Rush Hour,-0.1,24.78,91.175
312,Non Rush Hour,-0.04,24.86,91.15
313,Non Rush Hour,-0.04,24.92,91.125
314,Non Rush Hour,-0.07,24.96,91.1
315,Non Rush Hour,-0.07,24.96,91.1
316,Non Rush Hour,0.01,25.74,91.7375
317,Non Rush Hour,0.01,25.74,91.7375
318,Non Rush Hour,0.04,25.76,91.7375
319,Non Rush Hour,0.04,25.76,91.7375
320,Non Rush Hour,0.04,25.76,91.75
321,Non Rush Hour,0.04,25.76,91.75
322,Non Rush Hour,0.05,25.76,91.75
323,Non Rush Hour,0.04,25.78,91.7625
324,Non Rush Hour,0.07,25.84,91.775
325,Non Rush Hour,0.07,25.84,91.7625
326,Non Rush Hour,0.04,25.84,91.7625
327,Non Rush Hour,0.04,25.9,91.7375
328,Non Rush Hour,-0.01,25.92,91.75
329,Non Rush Hour,-0.03,25.92,91.75
330,Non Rush Hour,-0.04,25.94,91.75
331,Non Rush Hour,-0.16,25.98,91.6875
332,Non Rush Hour,-0.16,25.98,91.6875
333,Non Rush Hour,-0.42,25.96,91.55
334,Non Rush Hour,0.1,28.74,91.7375
335,Non Rush Hour,0.1,28.74,91.7375
336,Non Rush Hour,0.09,28.84,91.75
337,Non Rush Hour,0.09,28.84,91.75
338,Non Rush Hour,0.05,28.94,91.7375
339,Non Rush Hour,0.05,28.94,91.7375
340,Non Rush Hour,0,29.02,91.725
341,Non Rush Hour,0,29.02,91.725
342,Non Rush Hour,-0.04,28.94,91.7125
343,Non Rush Hour,-0.01,28.92,91.7375
344,Non Rush Hour,0.1,28.88,91.7875
345,Non Rush Hour,0.23,28.88,91.825
346,Non Rush Hour,0.33,25.6,91.3125
347,Non Rush Hour,0.4,25.6,91.2875
348,Non Rush Hour,0.29,25.72,91.35
349,Non Rush Hour,0.24,25.76,91.3
350,Non Rush Hour,0.08,25.78,91.35
351,Non Rush Hour,0.07,25.92,91.35
352,Non Rush Hour,0.04,25.98,91.3625
353,Non Rush Hour,-0.29,26.14,91.4875
354,Non Rush Hour,-0.15,26.16,91.5375
355,Non Rush Hour,0.02,26.18,91.5625
356,Non Rush Hour,0.17,26.28,91.4625
357,Non Rush Hour,0.01,26.3,91.4375
358,Non Rush Hour,-0.1,26.3,91.4125
359,Non Rush Hour,-0.21,26.32,91.4
360,Non Rush Hour,-0.24,26.36,91.4625
361,Non Rush Hour,-0.08,26.38,91.45
362,Non Rush Hour,-0.01,26.38,91.4375
363,Non Rush Hour,0,26.4,91.4375
364,Non Rush Hour,0,26.44,91.425
365,Non Rush Hour,-0.01,26.44,91.425
366,Non Rush Hour,-0.02,26.46,91.425
367,Non Rush Hour,0,26.48,91.4375
368,Non Rush Hour,-0.04,26.58,91.4125
369,Non Rush Hour,-0.14,29.02,91.8125
